PROJECT_ID,SAMPLE_ID,blank_or_control,enrichment,include
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWoldT0_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_CSWwell_Aug11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08A_Apr11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08A_Aug11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08AB_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08BA_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08BB_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08CA_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_N08T0_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV1_1A_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV1_2B_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV1_3B_Mar13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_QV13A_Aug12_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_tank1_Aug11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_tank3_Aug11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_CRO_Well8B_Apr11_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB02_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB03_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB10,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB10_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB12,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB13,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB14,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB15,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB16,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB17,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB18_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB20,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB21,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB22,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB25,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB27_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB28_Bv4v5,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB31,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB32,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB33,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB35,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB36,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB37,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB4,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB40,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB41,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB43,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB46,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB49,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB6,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB7,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB8,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB9,FALSE,FALSE,TRUE
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_H08_1_3_Bv4v5,FALSE,FALSE,TRUE
