PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,geohydroconnectivity,latitude,longitude,ph,temperature
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC3862_1325,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123203,-42.118972,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB10,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123357,-42.1206,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB12,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123871,-42.120517,10.5,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB13,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123934,-42.120154,10.1,70
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB14,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.124259,-42.118724,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB15,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.124286,-42.119138,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB16,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.124286,-42.119138,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB17,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.124178,-42.119698,null,44
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB20,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123934,-42.120154,10.1,70
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB21,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123934,-42.120154,10.1,70
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB22,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123934,-42.120154,10.1,70
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB25,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123934,-42.120154,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB31,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.12397,-42.120113,10.2,88
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB32,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123492,-42.118506,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB33,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123492,-42.120538,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB35,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.124755,-42.119024,8.7,28
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB37,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.124782,-42.11863,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB4,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.124069,-42.120019,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB41,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123492,-42.118506,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB49,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123465,-42.120082,null,9.9
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB8,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.123997,-42.118962,9.76,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LC_BB9,FALSE,v4v5,Archaea,FALSE,"marine biome","hydrothermal vent",biofilm,high,30.125314,-42.118869,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_LIG_LER20_LS11_127_Oct11,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",spring,water,high,44.4214,8.6564,null,null
DCO_BRZ,DCO_BRZ_Av4v5--Serp_Lig_GOR1CDEF_2013,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",spring,water,high,44.597,8.7833,12.25,20
DCO_BRZ,DCO_BRZ_Av4v5--Serp_Lig_GORupA_2013,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",spring,water,high,44.597,8.7833,9.5,21.9
