PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,latitude,longitude
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB6,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123889,42.120061
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB7,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124078,42.119325
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB8,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.123997,42.118962
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_BB9,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.125314,42.118869
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_H08_1_3_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124051,42.119532
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_HO8_2_2_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124051,42.119532
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LC_HO8_3_2_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"marine benthic","marine hydrothermal vent","biofilm material",30.124051,42.119532
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_BR2_back1_Jun12_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.4512,8.782
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_BR2_back2_Jun12_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.4512,8.782
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_GOR1_11_65_Oct11_A2_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.597,8.7833
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_Gor_upA_Jul12_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.597,8.7833
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_Gor_upB_Jul12_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.597,8.7833
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_L43_upstream_Oct11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.4584,8.7688
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_LER20_11_117_Oct11_A2_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.4214,8.6564
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_LER20_LS11_127_Oct11,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.4214,8.6564
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_LER20_lipids2011_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.4214,8.6564
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_LIG_PIO14_11_83_Oct11_A2_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.5972,8.7294
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_Lig_GOR1AB_2013,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.597,8.7833
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_Lig_GOR1CDEF_2013,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.597,8.7833
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_Lig_GORupA_2013,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.597,8.7833
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_Lig_GORupB_2013,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",44.597,8.7833
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_TL_WHC2A_DNA3_Jun11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",49.4653,-57.95763
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_TL_WHC2B_Aug10,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",49.4653,-57.95763
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_TL_WHC2C_DNA2_Jun11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",49.4653,-57.95763
DCO_BRZ,DCO_BRZ_Bv4v5--Serp_TL_WHC75_DNA2_Jun11_Bv4v5,FALSE,v4v5,Bacteria,FALSE,"montane shrubland","alkaline habitat","ground water",49.4648,-57.9584
DCO_BKR,DCO_BKR_Av4v5--Aar_59E_25H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,55.004821,10.108177
DCO_BKR,DCO_BKR_Av4v5--Knox_60B_10H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,56.620161,11.670677
DCO_BKR,DCO_BKR_Av4v5--Knox_63E_6H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,58.622326,18.254166
DCO_BKR,DCO_BKR_Av4v5--Knox_65C_7H2,FALSE,v4v5,Archaea,FALSE,"marine biome",borehole,sediment,55.463252,15.474324
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_13H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,55.004821,10.108177
DCO_BKR,DCO_BKR_Bv4v5--Aar_59E_21H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,55.004821,10.108177
DCO_BKR,DCO_BKR_Bv4v5--Aar_65C_4H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,55.463252,15.474324
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_10H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,56.620161,11.670677
DCO_BKR,DCO_BKR_Bv4v5--Knox_60B_28H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,56.620161,11.670677
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_24H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,58.622326,18.254166
DCO_BKR,DCO_BKR_Bv4v5--Knox_63E_6H2,FALSE,v4v5,Bacteria,FALSE,"marine biome",borehole,sediment,58.622326,18.254166
DCO_BOM,DCO_BOM_Av6--OL_KR13_360m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR1_609m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR29_801m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR2_596m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR44_775m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,FALSE,v6,Archaea,FALSE,"terrestrial biome",borehole,water,61.24,21.44
